id,label,group,size
Myriel,Myriel,1,136
Napoleon,Napoleon,1,10
MlleBaptistine,MlleBaptistine,1,38
MmeMagloire,MmeMagloire,1,38
CountessDeLo,CountessDeLo,1,10
Geborand,Geborand,1,10
Champtercier,Champtercier,1,10
Cravatte,Cravatte,1,10
Count,Count,1,10
OldMan,OldMan,1,10
Labarre,Labarre,2,10
Valjean,Valjean,2,500
Marguerite,Marguerite,2,24
MmeDeR,MmeDeR,2,10
Isabeau,Isabeau,2,10
Gervais,Gervais,2,10
Tholomyes,Tholomyes,3,122
Listolier,Listolier,3,94
Fameuil,Fameuil,3,94
Blacheville,Blacheville,3,94
Favourite,Favourite,3,94
Dahlia,Dahlia,3,94
Zephine,Zephine,3,94
Fantine,Fantine,3,206
MmeThenardier,MmeThenardier,4,150
Thenardier,Thenardier,4,220
Cosette,Cosette,5,150
Javert,Javert,4,234
Fauchelevent,Fauchelevent,2,52
Bamatabois,Bamatabois,2,108
Perpetue,Perpetue,3,24
Simplice,Simplice,3,52
Scaufflaire,Scaufflaire,2,10
Woman1,Woman1,2,24
Judge,Judge,2,80
Champmathieu,Champmathieu,2,80
Brevet,Brevet,2,80
Chenildieu,Chenildieu,2,80
Cochepaille,Cochepaille,2,80
Pontmercy,Pontmercy,5,38
Boulatruelle,Boulatruelle,4,10
Eponine,Eponine,4,150
Anzelma,Anzelma,4,38
Woman2,Woman2,2,38
MotherInnocent,MotherInnocent,2,24
Gribier,Gribier,2,10
Jondrette,Jondrette,6,10
MmeBurgon,MmeBurgon,6,24
Gavroche,Gavroche,6,304
Gillenormand,Gillenormand,5,94
Magnon,Magnon,5,24
MlleGillenormand,MlleGillenormand,5,94
MmePontmercy,MmePontmercy,5,24
MlleVaubois,MlleVaubois,5,10
LtGillenormand,LtGillenormand,5,52
Marius,Marius,5,262
BaronessT,BaronessT,5,24
Mabeuf,Mabeuf,6,150
Enjolras,Enjolras,6,206
Combeferre,Combeferre,6,150
Prouvaire,Prouvaire,6,122
Feuilly,Feuilly,6,150
Courfeyrac,Courfeyrac,6,178
Bahorel,Bahorel,6,164
Bossuet,Bossuet,6,178
Joly,Joly,6,164
Grantaire,Grantaire,6,136
MotherPlutarch,MotherPlutarch,6,10
Gueulemer,Gueulemer,4,136
Babet,Babet,4,136
Claquesous,Claquesous,4,136
Montparnasse,Montparnasse,4,122
Toussaint,Toussaint,2,38
Child1,Child1,6,24
Child2,Child2,6,24
Brujon,Brujon,4,94
MmeHucheloup,MmeHucheloup,6,94
